FarmId,FarmArea,Location,Crop,PlantingDate,Temperature,Precipitation,AvgTempRequiredMin,AvgTempRequiredMax,PrecipitationMin,PrecipitationMax,OptimalTempMidpoint,OptimalPrecipMidpoint,TempDeviation,PrecipDeviation,NormalizedTempDeviation,NormalizedPrecipDeviation,OverallRiskScore
1,831.3847689,Iowa,Corn,5/1/2016,65,110,41,95,508,635,68,571.5,3,461.5,8.450704225,62.83185841,35.64128132
2,3677.001228,Iowa,Corn,5/1/2021,63.52640545,79.87720045,41,95,508,635,68,571.5,4.473594549,491.6227995,12.60167478,66.93298837,39.76733158
3,4791.950508,California,Grapes,3/1/2014,52,70,77,90,635,890,83.5,762.5,31.5,692.5,88.73239437,94.28182437,91.50710937
4,2901.887563,Iowa,Soybean,6/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
5,125.8416392,California,Grapes,2/1/2018,48,76,77,90,635,890,83.5,762.5,35.5,686.5,100,93.46494214,96.73247107
6,1118.018479,Iowa,Soybean,6/1/2021,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
7,3836.611974,Kansas,Wheat,4/1/2017,60,75,70,75,200,250,72.5,225,12.5,150,35.21126761,20.42205582,27.81666171
8,3452.56567,Kansas,Soybean,6/1/2019,80,100,50,70,50,90,60,70,20,30,56.33802817,4.084411164,30.21121967
9,2524.584952,Kansas,Corn,5/1/2013,70,90,41,95,508,635,68,571.5,2,481.5,5.633802817,65.55479918,35.594301
10,2060.112029,California,Grapes,4/1/2018,55,28,77,90,635,890,83.5,762.5,28.5,734.5,80.28169014,100,90.14084507
11,1330.359918,Iowa,Corn,5/1/2013,65,110,41,95,508,635,68,571.5,3,461.5,8.450704225,62.83185841,35.64128132
12,878.3393072,Iowa,Soybean,6/1/2022,63.52640545,79.87720045,50,70,50,90,60,70,3.526405451,9.877200454,9.933536483,1.344751594,5.639144038
13,4863.75374,Iowa,Soybean,6/1/2013,75,105,50,70,50,90,60,70,15,35,42.25352113,4.765146358,23.50933374
14,4189.735904,Iowa,Corn,4/1/2017,55,95,41,95,508,635,68,571.5,13,476.5,36.61971831,64.87406399,50.74689115
